time,airTemperature_noaa,airTemperature_sg
2018-08-24T02:00:00+00:00,23.41,23.41
2018-08-24T03:00:00+00:00,22.63,22.63
2018-08-24T04:00:00+00:00,22.01,22.01
2018-08-24T05:00:00+00:00,21.4,21.4
2018-08-24T06:00:00+00:00,20.79,20.79
2018-08-24T07:00:00+00:00,20.19,20.19
2018-08-24T08:00:00+00:00,19.59,19.59
2018-08-24T09:00:00+00:00,19.0,19.0
2018-08-24T10:00:00+00:00,18.97,18.97
2018-08-24T11:00:00+00:00,18.95,18.95
2018-08-24T12:00:00+00:00,18.93,18.93
2018-08-24T13:00:00+00:00,21.21,21.21
2018-08-24T14:00:00+00:00,23.49,23.49
2018-08-24T15:00:00+00:00,25.77,25.77
2018-08-24T16:00:00+00:00,26.6,26.6
2018-08-24T17:00:00+00:00,27.42,27.42
2018-08-24T18:00:00+00:00,28.25,28.25
2018-08-24T19:00:00+00:00,28.58,28.58
2018-08-24T20:00:00+00:00,28.92,28.92
2018-08-24T21:00:00+00:00,29.25,29.25
2018-08-24T22:00:00+00:00,27.55,27.55
2018-08-24T23:00:00+00:00,25.85,25.85
2018-08-25T00:00:00+00:00,24.15,24.15
2018-08-25T01:00:00+00:00,23.38,23.38
2018-08-25T02:00:00+00:00,22.62,22.62
2018-08-25T03:00:00+00:00,21.85,21.85
2018-08-25T04:00:00+00:00,21.31,21.31
2018-08-25T05:00:00+00:00,20.77,20.77
2018-08-25T06:00:00+00:00,20.23,20.23
2018-08-25T07:00:00+00:00,19.77,19.77
2018-08-25T08:00:00+00:00,19.31,19.31
2018-08-25T09:00:00+00:00,18.85,18.85
2018-08-25T10:00:00+00:00,19.24,19.24
2018-08-25T11:00:00+00:00,19.63,19.63
2018-08-25T12:00:00+00:00,20.02,20.02
2018-08-25T13:00:00+00:00,22.1,22.1
2018-08-25T14:00:00+00:00,24.17,24.17
2018-08-25T15:00:00+00:00,26.25,26.25
2018-08-25T16:00:00+00:00,27.47,27.47
2018-08-25T17:00:00+00:00,28.7,28.7
2018-08-25T18:00:00+00:00,29.92,29.92
2018-08-25T19:00:00+00:00,30.05,30.05
2018-08-25T20:00:00+00:00,30.18,30.18
2018-08-25T21:00:00+00:00,30.32,30.32
2018-08-25T22:00:00+00:00,28.54,28.54
2018-08-25T23:00:00+00:00,26.76,26.76
2018-08-26T00:00:00+00:00,24.98,24.98
2018-08-26T01:00:00+00:00,24.27,24.27
2018-08-26T02:00:00+00:00,23.56,23.56
2018-08-26T03:00:00+00:00,22.85,22.85
2018-08-26T04:00:00+00:00,22.62,22.62
2018-08-26T05:00:00+00:00,22.39,22.39
2018-08-26T06:00:00+00:00,22.16,22.16
2018-08-26T07:00:00+00:00,21.82,21.82
2018-08-26T08:00:00+00:00,21.49,21.49
2018-08-26T09:00:00+00:00,21.15,21.15
2018-08-26T10:00:00+00:00,21.59,21.59
2018-08-26T11:00:00+00:00,22.03,22.03
2018-08-26T12:00:00+00:00,22.47,22.47
2018-08-26T13:00:00+00:00,24.26,24.26
2018-08-26T14:00:00+00:00,26.06,26.06
2018-08-26T15:00:00+00:00,27.85,27.85
2018-08-26T16:00:00+00:00,28.78,28.78
2018-08-26T17:00:00+00:00,29.72,29.72
2018-08-26T18:00:00+00:00,30.65,30.65
2018-08-26T19:00:00+00:00,30.35,30.35
2018-08-26T20:00:00+00:00,30.05,30.05
2018-08-26T21:00:00+00:00,29.75,29.75
2018-08-26T22:00:00+00:00,28.26,28.26
2018-08-26T23:00:00+00:00,26.77,26.77
2018-08-27T00:00:00+00:00,25.28,25.28
2018-08-27T01:00:00+00:00,24.54,24.54
2018-08-27T02:00:00+00:00,23.8,23.8
2018-08-27T03:00:00+00:00,23.06,23.06
2018-08-27T04:00:00+00:00,22.74,22.74
2018-08-27T05:00:00+00:00,22.41,22.41
2018-08-27T06:00:00+00:00,22.09,22.09
2018-08-27T07:00:00+00:00,21.85,21.85
2018-08-27T08:00:00+00:00,21.61,21.61
2018-08-27T09:00:00+00:00,21.37,21.37
2018-08-27T10:00:00+00:00,21.96,21.96
2018-08-27T11:00:00+00:00,22.56,22.56
2018-08-27T12:00:00+00:00,23.15,23.15
2018-08-27T13:00:00+00:00,25.11,25.11
2018-08-27T14:00:00+00:00,27.08,27.08
2018-08-27T15:00:00+00:00,29.04,29.04
2018-08-27T16:00:00+00:00,30.2,30.2
2018-08-27T17:00:00+00:00,31.36,31.36
2018-08-27T18:00:00+00:00,32.52,32.52
2018-08-27T19:00:00+00:00,32.4,32.4
2018-08-27T20:00:00+00:00,32.28,32.28
2018-08-27T21:00:00+00:00,32.17,32.17
2018-08-27T22:00:00+00:00,30.03,30.03
2018-08-27T23:00:00+00:00,27.89,27.89
2018-08-28T00:00:00+00:00,25.75,25.75
2018-08-28T01:00:00+00:00,25.23,25.23
2018-08-28T02:00:00+00:00,24.71,24.71
2018-08-28T03:00:00+00:00,24.19,24.19
2018-08-28T04:00:00+00:00,23.88,23.88
2018-08-28T05:00:00+00:00,23.56,23.56
2018-08-28T06:00:00+00:00,23.25,23.25
2018-08-28T07:00:00+00:00,22.97,22.97
2018-08-28T08:00:00+00:00,22.69,22.69
2018-08-28T09:00:00+00:00,22.41,22.41
2018-08-28T10:00:00+00:00,22.88,22.88
2018-08-28T11:00:00+00:00,23.35,23.35
2018-08-28T12:00:00+00:00,23.82,23.82
2018-08-28T13:00:00+00:00,25.72,25.72
2018-08-28T14:00:00+00:00,27.61,27.61
2018-08-28T15:00:00+00:00,29.5,29.5
2018-08-28T16:00:00+00:00,29.98,29.98
2018-08-28T17:00:00+00:00,30.46,30.46
2018-08-28T18:00:00+00:00,30.93,30.93
2018-08-28T19:00:00+00:00,30.9,30.9
2018-08-28T20:00:00+00:00,30.87,30.87
2018-08-28T21:00:00+00:00,30.83,30.83
2018-08-28T22:00:00+00:00,29.46,29.46
2018-08-28T23:00:00+00:00,28.09,28.09
2018-08-29T00:00:00+00:00,26.71,26.71
2018-08-29T01:00:00+00:00,26.04,26.04
2018-08-29T02:00:00+00:00,25.37,25.37
2018-08-29T03:00:00+00:00,24.7,24.7
2018-08-29T04:00:00+00:00,24.5,24.5
2018-08-29T05:00:00+00:00,24.3,24.3
2018-08-29T06:00:00+00:00,24.1,24.1
2018-08-29T07:00:00+00:00,23.85,23.85
2018-08-29T08:00:00+00:00,23.61,23.61
2018-08-29T09:00:00+00:00,23.37,23.37
2018-08-29T10:00:00+00:00,23.87,23.87
2018-08-29T11:00:00+00:00,24.37,24.37
2018-08-29T12:00:00+00:00,24.86,24.86
2018-08-29T13:00:00+00:00,26.41,26.41
2018-08-29T14:00:00+00:00,27.96,27.96
2018-08-29T15:00:00+00:00,29.51,29.51
2018-08-29T16:00:00+00:00,30.13,30.13
2018-08-29T17:00:00+00:00,30.75,30.75
2018-08-29T18:00:00+00:00,31.37,31.37
2018-08-29T19:00:00+00:00,31.26,31.26
2018-08-29T20:00:00+00:00,31.15,31.15
2018-08-29T21:00:00+00:00,31.04,31.04
2018-08-29T22:00:00+00:00,29.58,29.58
2018-08-29T23:00:00+00:00,28.11,28.11
2018-08-30T00:00:00+00:00,26.65,26.65
2018-08-30T01:00:00+00:00,26.19,26.19
2018-08-30T02:00:00+00:00,25.73,25.73
2018-08-30T03:00:00+00:00,25.26,25.26
2018-08-30T04:00:00+00:00,24.99,24.99
2018-08-30T05:00:00+00:00,24.72,24.72
2018-08-30T06:00:00+00:00,24.45,24.45
2018-08-30T07:00:00+00:00,24.2,24.2
2018-08-30T08:00:00+00:00,23.94,23.94
2018-08-30T09:00:00+00:00,23.69,23.69
2018-08-30T10:00:00+00:00,24.06,24.06
2018-08-30T11:00:00+00:00,24.44,24.44
2018-08-30T12:00:00+00:00,24.81,24.81
2018-08-30T13:00:00+00:00,26.51,26.51
2018-08-30T14:00:00+00:00,28.21,28.21
2018-08-30T15:00:00+00:00,29.91,29.91
2018-08-30T16:00:00+00:00,30.82,30.82
2018-08-30T17:00:00+00:00,31.72,31.72
2018-08-30T18:00:00+00:00,32.63,32.63
2018-08-30T19:00:00+00:00,32.27,32.27
2018-08-30T20:00:00+00:00,31.91,31.91
2018-08-30T21:00:00+00:00,31.55,31.55
2018-08-30T22:00:00+00:00,29.86,29.86
2018-08-30T23:00:00+00:00,28.17,28.17
2018-08-31T00:00:00+00:00,26.48,26.48
2018-08-31T01:00:00+00:00,26.1,26.1
2018-08-31T02:00:00+00:00,25.72,25.72
2018-08-31T03:00:00+00:00,25.33,25.33
2018-08-31T04:00:00+00:00,24.95,24.95
2018-08-31T05:00:00+00:00,24.57,24.57
2018-08-31T06:00:00+00:00,24.19,24.19
2018-08-31T07:00:00+00:00,23.96,23.96
2018-08-31T08:00:00+00:00,23.73,23.73
2018-08-31T09:00:00+00:00,23.5,23.5
2018-08-31T10:00:00+00:00,23.92,23.92
2018-08-31T11:00:00+00:00,24.33,24.33
2018-08-31T12:00:00+00:00,24.75,24.75
2018-08-31T13:00:00+00:00,26.51,26.51
2018-08-31T14:00:00+00:00,28.26,28.26
2018-08-31T15:00:00+00:00,30.02,30.02
2018-08-31T16:00:00+00:00,30.86,30.86
2018-08-31T17:00:00+00:00,31.71,31.71
2018-08-31T18:00:00+00:00,32.55,32.55
2018-08-31T19:00:00+00:00,32.04,32.04
2018-08-31T20:00:00+00:00,31.53,31.53
2018-08-31T21:00:00+00:00,31.02,31.02
2018-08-31T22:00:00+00:00,29.46,29.46
2018-08-31T23:00:00+00:00,27.91,27.91
2018-09-01T00:00:00+00:00,26.35,26.35
2018-09-01T01:00:00+00:00,25.95,25.95
2018-09-01T02:00:00+00:00,25.55,25.55
2018-09-01T03:00:00+00:00,25.15,25.15
2018-09-01T04:00:00+00:00,24.95,24.95
2018-09-01T05:00:00+00:00,24.75,24.75
2018-09-01T06:00:00+00:00,24.55,24.55
2018-09-01T07:00:00+00:00,24.35,24.35
2018-09-01T08:00:00+00:00,24.15,24.15
2018-09-01T09:00:00+00:00,23.95,23.95
2018-09-01T10:00:00+00:00,24.45,24.45
2018-09-01T11:00:00+00:00,24.95,24.95
2018-09-01T12:00:00+00:00,25.45,25.45
2018-09-01T13:00:00+00:00,27.23,27.23
2018-09-01T14:00:00+00:00,29.01,29.01
2018-09-01T15:00:00+00:00,30.78,30.78
2018-09-01T16:00:00+00:00,31.08,31.08
2018-09-01T17:00:00+00:00,31.37,31.37
2018-09-01T18:00:00+00:00,31.67,31.67
2018-09-01T19:00:00+00:00,30.86,30.86
2018-09-01T20:00:00+00:00,30.06,30.06
2018-09-01T21:00:00+00:00,29.25,29.25
2018-09-01T22:00:00+00:00,28.13,28.13
2018-09-01T23:00:00+00:00,27.01,27.01
2018-09-02T00:00:00+00:00,25.89,25.89
2018-09-02T01:00:00+00:00,25.45,25.45
2018-09-02T02:00:00+00:00,25.02,25.02
2018-09-02T03:00:00+00:00,24.59,24.59
2018-09-02T04:00:00+00:00,24.42,24.42
2018-09-02T05:00:00+00:00,24.25,24.25
2018-09-02T06:00:00+00:00,24.09,24.09
2018-09-02T07:00:00+00:00,23.82,23.82
2018-09-02T08:00:00+00:00,23.55,23.55
2018-09-02T09:00:00+00:00,23.29,23.29
2018-09-02T10:00:00+00:00,23.56,23.56
2018-09-02T11:00:00+00:00,23.84,23.84
2018-09-02T12:00:00+00:00,24.12,24.12
2018-09-02T13:00:00+00:00,25.85,25.85
2018-09-02T14:00:00+00:00,27.58,27.58
2018-09-02T15:00:00+00:00,29.31,29.31
2018-09-02T16:00:00+00:00,30.09,30.09
2018-09-02T17:00:00+00:00,30.87,30.87
2018-09-02T18:00:00+00:00,31.65,31.65
2018-09-02T19:00:00+00:00,31.32,31.32
2018-09-02T20:00:00+00:00,30.98,30.98
2018-09-02T21:00:00+00:00,30.65,30.65
2018-09-02T22:00:00+00:00,29.25,29.25
2018-09-02T23:00:00+00:00,27.85,27.85
2018-09-03T00:00:00+00:00,26.45,26.45
time,airTemperature_noaa,airTemperature_sg
2018-08-24T00:00:00+00:00,26.39,26.39
2018-08-24T01:00:00+00:00,25.84,25.84
2018-08-24T02:00:00+00:00,25.28,25.28
2018-08-24T03:00:00+00:00,24.73,24.73
2018-08-24T04:00:00+00:00,24.31,24.31
2018-08-24T05:00:00+00:00,23.9,23.9
2018-08-24T06:00:00+00:00,23.49,23.49
2018-08-24T07:00:00+00:00,23.29,23.29
2018-08-24T08:00:00+00:00,23.09,23.09
2018-08-24T09:00:00+00:00,22.9,22.9
2018-08-24T10:00:00+00:00,22.74,22.74
2018-08-24T11:00:00+00:00,22.58,22.58
2018-08-24T12:00:00+00:00,22.43,22.43
2018-08-24T13:00:00+00:00,23.98,23.98
2018-08-24T14:00:00+00:00,25.53,25.53
2018-08-24T15:00:00+00:00,27.07,27.07
2018-08-24T16:00:00+00:00,27.63,27.63
2018-08-24T17:00:00+00:00,28.19,28.19
2018-08-24T18:00:00+00:00,28.75,28.75
2018-08-24T19:00:00+00:00,28.38,28.38
2018-08-24T20:00:00+00:00,28.02,28.02
2018-08-24T21:00:00+00:00,27.65,27.65
2018-08-24T22:00:00+00:00,26.85,26.85
2018-08-24T23:00:00+00:00,26.05,26.05
2018-08-25T00:00:00+00:00,25.25,25.25
2018-08-25T01:00:00+00:00,24.98,24.98
2018-08-25T02:00:00+00:00,24.72,24.72
2018-08-25T03:00:00+00:00,24.45,24.45
2018-08-25T04:00:00+00:00,24.14,24.14
2018-08-25T05:00:00+00:00,23.83,23.83
2018-08-25T06:00:00+00:00,23.53,23.53
2018-08-25T07:00:00+00:00,23.27,23.27
2018-08-25T08:00:00+00:00,23.01,23.01
2018-08-25T09:00:00+00:00,22.75,22.75
2018-08-25T10:00:00+00:00,22.84,22.84
2018-08-25T11:00:00+00:00,22.93,22.93
2018-08-25T12:00:00+00:00,23.02,23.02
2018-08-25T13:00:00+00:00,24.46,24.46
2018-08-25T14:00:00+00:00,25.91,25.91
2018-08-25T15:00:00+00:00,27.35,27.35
2018-08-25T16:00:00+00:00,28.47,28.47
2018-08-25T17:00:00+00:00,29.6,29.6
2018-08-25T18:00:00+00:00,30.72,30.72
2018-08-25T19:00:00+00:00,30.35,30.35
2018-08-25T20:00:00+00:00,29.98,29.98
2018-08-25T21:00:00+00:00,29.62,29.62
2018-08-25T22:00:00+00:00,28.34,28.34
2018-08-25T23:00:00+00:00,27.06,27.06
2018-08-26T00:00:00+00:00,25.78,25.78
2018-08-26T01:00:00+00:00,25.34,25.34
2018-08-26T02:00:00+00:00,24.89,24.89
2018-08-26T03:00:00+00:00,24.45,24.45
2018-08-26T04:00:00+00:00,24.52,24.52
2018-08-26T05:00:00+00:00,24.59,24.59
2018-08-26T06:00:00+00:00,24.66,24.66
2018-08-26T07:00:00+00:00,24.09,24.09
2018-08-26T08:00:00+00:00,23.52,23.52
2018-08-26T09:00:00+00:00,22.95,22.95
2018-08-26T10:00:00+00:00,23.46,23.46
2018-08-26T11:00:00+00:00,23.96,23.96
2018-08-26T12:00:00+00:00,24.47,24.47
2018-08-26T13:00:00+00:00,26.16,26.16
2018-08-26T14:00:00+00:00,27.86,27.86
2018-08-26T15:00:00+00:00,29.55,29.55
2018-08-26T16:00:00+00:00,30.25,30.25
2018-08-26T17:00:00+00:00,30.95,30.95
2018-08-26T18:00:00+00:00,31.65,31.65
2018-08-26T19:00:00+00:00,31.12,31.12
2018-08-26T20:00:00+00:00,30.58,30.58
2018-08-26T21:00:00+00:00,30.05,30.05
2018-08-26T22:00:00+00:00,28.56,28.56
2018-08-26T23:00:00+00:00,27.07,27.07
2018-08-27T00:00:00+00:00,25.58,25.58
2018-08-27T01:00:00+00:00,25.24,25.24
